아파트,지역구,면적,거래금액,건축년도
성원,중랑구,84.4,70500,1994.0
신성미소지움,성동구,84.99,146000,2004.0
성원1,노원구,59.75,80000,1996.0
신일해피트리,양천구,63.01,50000,2004.0
신월시영,양천구,50.67,77000,1988.0
시흥(817-29),금천구,49.09,28000,1975.0
서초삼성래미안,서초구,121.66,270000,2001.0
신내,중랑구,39.84,49300,1996.0
신도림태영타운,구로구,59.88,133000,2000.0
신동아,강서구,59.82,102000,1995.0
한신,도봉구,84.94,65000,1995.0
대동,광진구,59.54,140000,1999.0
청량리역롯데캐슬 SKY-L65,동대문구,84.975,192000,2023.0
청구아파트,도봉구,84.97,61800,1994.0
경남1,구로구,59.92,60000,1998.0
대우,성북구,59.98,51500,2001.0
태창네스트힐,강서구,82.35,59500,2004.0
한일유앤아이,구로구,84.962,75700,2006.0
길음뉴타운1단지(래미안길음1차),성북구,84.96,140000,2003.0
한강극동,송파구,59.26,145800,1995.0
한양6,도봉구,83.86,55000,2002.0
대상,구로구,74.56,59000,1999.0
한진(609-1),성북구,59.58,83500,1998.0
더샵파크프레스티지,영등포구,59.899,150000,2022.0
거성푸르뫼2,구로구,59.9,42300,1994.0
거성푸르뫼2,구로구,59.9,41500,1994.0
금호,구로구,59.96,50900,1997.0
남서울건영2,금천구,84.82,60000,1989.0
관악푸르지오,관악구,59.58,122700,2004.0
관악푸르지오,관악구,84.75,126000,2004.0
한신아파트,동대문구,84.9,78800,1996.0
금천롯데캐슬골드파크1차,금천구,71.39,124000,2016.0
현대조합,도봉구,59.91,58750,2000.0
현대아파트,서초구,84.33,249000,1989.0
개포래미안포레스트,강남구,59.92,308000,2020.0
창신이수,종로구,84.5,97000,2003.0
개봉동현대아이파크,구로구,84.98,106500,2006.0
천우네오젠5차,강서구,70.54,56800,2007.0
한화성원아파트,도봉구,59.88,40000,1996.0
극동,노원구,80.28,50000,1996.0
한신,도봉구,84.94,62500,1995.0
서울가든,양천구,100.8,73000,1985.0
상아2차아파트,도봉구,84.99,80800,1988.0
반포 래미안 트리니원,서초구,112.08,693669,0.0
서대문푸르지오센트럴파크,서대문구,55.25,137000,2023.0
사당휴브리지(206-127),동작구,12.81,13600,2015.0
상계2차중앙하이츠,노원구,59.82,74000,1998.0
부영,강서구,80.64,115000,1994.0
보라매 신동아 파밀리에,영등포구,84.91,119000,2016.0
삼성,종로구,59.95,66300,1998.0
삼성,종로구,59.95,66300,1998.0
상계현대3차,노원구,84.96,64000,1999.0
봉천우성,관악구,114.78,106000,2000.0
삼익그린2차,강동구,66.87,180000,1983.0
미성,노원구,33.28,80000,1986.0
백련산힐스테이트1차,은평구,114.9,99500,2011.0
방화그린,강서구,39.76,56000,1993.0
백련산힐스테이트1차,은평구,114.9,101500,2011.0
목동힐스테이트,양천구,59.95,185000,2016.0
방화5,강서구,49.77,84500,1994.0
방주아크빌,양천구,54.262,40000,2002.0
불암현대,노원구,84.9,62300,1999.0
상계주공16(고층),노원구,58.01,62000,1988.0
상계주공16(고층),노원구,45.77,47000,1988.0
브라운스톤당산,영등포구,84.039,160000,2015.0
서울원 아이파크,노원구,112.398,195871,0.0
미성,노원구,50.14,96200,1986.0
벽산,성동구,114.57,185000,2001.0
미성,구로구,66.03,102500,1987.0
삼익세라믹아파트,도봉구,74.105,49500,1988.0
미원2,마포구,59.79,66500,1997.0
상계주공7(고층),노원구,45.9,60000,1988.0
보라매우성,동작구,58.86,75000,1995.0
상계주공14(고층),노원구,45.9,45000,1989.0
문래건영,영등포구,59.4,118000,1998.0
목화102,금천구,81.07,59000,1997.0
사가정센트럴아이파크,중랑구,84.87,149300,2020.0
북한산현대힐스테이트3차아파트,은평구,59.99,89000,2010.0
북한산힐스테이트7차,은평구,84.986,130000,2011.0
서원,도봉구,59.76,49000,1996.0
서울원 아이파크,노원구,105.541,161903,0.0
벽산베스트블루밍,구로구,84.887,93000,2010.0
상계현대3차,노원구,84.96,66000,1999.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
성산시영(대우),마포구,50.03,148000,1986.0
성원,서대문구,84.95,93000,2001.0
성원상떼빌,송파구,101.52,150000,2006.0
세민하이파크,은평구,40.19,44200,2017.0
세이지움태릉입구역,중랑구,18.364,25800,2026.0
세이지움태릉입구역,중랑구,18.364,26800,2026.0
세이지움태릉입구역,중랑구,18.364,26800,2026.0
세이지움태릉입구역,중랑구,18.364,26800,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26800,2026.0
세이지움태릉입구역,중랑구,18.364,26800,2026.0
세이지움태릉입구역,중랑구,18.364,26800,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,25800,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,25800,2026.0
세이지움태릉입구역,중랑구,18.364,25800,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,25800,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,25800,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,25800,2026.0
세이지움태릉입구역,중랑구,18.364,26250,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,25800,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,26000,2026.0
세이지움태릉입구역,중랑구,18.364,26550,2026.0
